GEO_ID,NAME,S2405_C02_007E
13283,"Treutlen County, Georgia",20.6
13285,"Troup County, Georgia",5.9
13287,"Turner County, Georgia",8.2
13289,"Twiggs County, Georgia",9.8
13291,"Union County, Georgia",4.3
13293,"Upson County, Georgia",16.4
13295,"Walker County, Georgia",15.2
13297,"Walton County, Georgia",14.7
13299,"Ware County, Georgia",8
13301,"Warren County, Georgia",10.1
13303,"Washington County, Georgia",5.8
13305,"Wayne County, Georgia",2.6
13307,"Webster County, Georgia",0
13309,"Wheeler County, Georgia",2.4
13311,"White County, Georgia",16.3
13313,"Whitfield County, Georgia",17.9
13315,"Wilcox County, Georgia",9.9
13317,"Wilkes County, Georgia",0
13319,"Wilkinson County, Georgia",9.7
13321,"Worth County, Georgia",6.4
